Contrast,n_all,n_ivp,n_rk4,n_valid_all,n_low_all,n_high_all,n_valid_ivp,n_low_ivp,n_high_ivp,n_valid_rk4,n_low_rk4,n_high_rk4,Da_peak_all,Da_low_all,HI_low_all,Da_high_all,HI_high_all,cross_bimodal_all,cross_ratio_all,n_mid_all,Da_mid_all,HI_mid_all,mid_ratio_all,mid_hump_all,Da_peak_ivp,Da_low_ivp,HI_low_ivp,Da_high_ivp,HI_high_ivp,cross_bimodal_ivp,cross_ratio_ivp,n_mid_ivp,Da_mid_ivp,HI_mid_ivp,mid_ratio_ivp,mid_hump_ivp,Da_peak_rk4,Da_low_rk4,HI_low_rk4,Da_high_rk4,HI_high_rk4,cross_bimodal_rk4,cross_ratio_rk4,n_mid_rk4,Da_mid_rk4,HI_mid_rk4,mid_ratio_rk4,mid_hump_rk4
1.2,557,164,393,557,256,301,164,164,0,393,92,301,0.00020930983608475926,0.00021235883019507488,0.07653445166088879,0.011268388168954705,0.028354549121378206,0,0.37048085543243214,85,0.5459082851512259,0.019221356542693958,0.25114645921630874,0,0.00048603891176967354,0.0004886880827284196,0.08520186176481262,,,0,,0,,,,0,9.002444602640134e-06,8.89254943338595e-06,0.06160640834016528,0.011017486531390104,0.028514975785564188,0,0.46285729932698244,85,0.5459082851512259,0.019221356542693958,0.3120025507178007,0
1.4,556,161,395,556,260,296,161,161,0,395,99,296,0.00017936509888023564,0.0001867367601005293,0.07937792751571761,0.016557755172358465,0.021172273676137804,0,0.266727468690153,84,0.8792531000641025,0.02129631370560272,0.2682901200889358,0,0.00011966747039782368,0.00011925130112937092,0.0874975627186653,,,0,,0,,,,0,7.721886651730172e-06,7.696134173055676e-06,0.06348325946041583,0.012846970439156976,0.024441963125964028,0,0.38501430666464914,84,0.8792531000641025,0.02129631370560272,0.33546345739984823,0
1.7,557,165,392,557,265,292,165,164,1,392,101,291,0.00015460785972564093,0.00015483775433402836,0.0816609764894746,0.01383280839756055,0.023584489716128334,0,0.28880979300030996,85,0.8239784363667914,0.02495788978880721,0.3056281085742842,0,0.0003072699207512327,0.00030499175908598104,0.09164445607991376,,,0,,0,,,,0,6.35244372551532e-06,6.241156963185139e-06,0.0648431465262864,0.011410720213006268,0.024329464483684653,0,0.3752048718644748,85,0.8239784363667914,0.02495788978880721,0.3848963402584061,0
2.0,559,166,393,559,270,289,166,164,2,393,106,287,0.0002069529461042742,0.00020755931079543717,0.08445953064205441,0.8716472116326729,0.025312697322270372,0,0.29970208370618834,84,0.924665539338669,0.02903157738686903,0.3437335865612011,0,7.849234026167797e-05,7.781423516763849e-05,0.0963228745486641,,,0,,0,,,,0,5.401517181431224e-06,5.335529792966183e-06,0.06452579510707171,1.5629623158764043,0.025987431392259466,0,0.40274484567198104,84,0.924665539338669,0.02903157738686903,0.4499220403048906,0
2.4,564,191,373,564,275,289,191,166,25,373,109,264,0.00018567237210747995,0.0001827463806993468,0.08986036353391774,0.010077841581993145,0.025925006743567375,0,0.28850324797297305,87,0.6545166179718239,0.029891482828181486,0.3326436890821053,0,0.0003053884372332527,0.00030473957925089475,0.09969831200451892,0.01777548951300023,0.025799357846491563,0,0.2587742693710018,16,0.07862313973413565,0.00422088951823224,0.04233661968159425,0,3.980890901949715e-06,3.941838599405446e-06,0.06768627374720375,1.7329392488103927,0.027591673146444406,0,0.40764059858715845,71,0.601073535847874,0.029928896752856586,0.4421708434510033,0
2.9,568,240,328,568,281,287,240,168,72,328,113,215,0.00016185394655835088,0.00015614059286268785,0.09344033510212114,2.3122471240343505,0.02444569574461871,0,0.2616182371125056,89,0.18314793267568447,0.028132182823145647,0.3010710823371933,0,0.00022641391071149232,0.0002307077377901527,0.10530934889506294,0.015954260506843086,0.02716694769968539,0,0.2579728009405537,56,0.062467815964571134,0.005957822922809788,0.05657449205907207,0,3.478642325229454e-06,3.3761797265809324e-06,0.06997184626952105,1.5866331366500852,0.02971894926858808,0,0.4247272417840048,33,0.11599039729825732,0.029099570480366238,0.41587541320946514,0
3.5,570,257,313,570,288,282,257,170,87,313,118,195,0.00020170567683560218,0.0002038386488432577,0.0968136210488261,2.94868234404663,0.024610225375594708,0,0.25420209583094727,89,0.34926657612477446,0.028251675694561523,0.2918150916007297,0,0.00018583900852624902,0.0001851616827452429,0.108004832099041,0.01609258579845524,0.02241821185905502,0,0.20756674885154583,63,0.06570234861129619,0.005653916687803017,0.05234873827328712,0,3.369579731970179e-06,3.4000530741386878e-06,0.06990176755489923,1.672959713685625,0.03193239515125348,0,0.45681813591014725,26,0.29910964388869715,0.029696199669617604,0.4248275931834613,0
4.2,574,270,304,574,294,280,270,173,97,304,121,183,0.00018430953908034478,0.0001830904253281283,0.09849148567346555,2.572558458162491,0.02495714334246481,0,0.2533939169646263,90,0.0984889491666744,0.027738200674963194,0.28163044231991013,0,0.00015719978507150562,0.00015646270591426756,0.10722003331633752,0.01094515578767458,0.024664442728044172,0,0.2300357681784637,72,0.06204418378848657,0.00603936749336452,0.05632685708599084,0,2.536885624863949e-06,2.5441060758771344e-06,0.06879356114551978,1.5952237217716745,0.030533986439931937,0,0.4438494814266565,18,0.40639201016712423,0.029672482964246936,0.43132645657753355,0
5.1,575,284,291,575,298,277,284,174,110,291,124,167,0.0001518459651950496,0.00015238930302937347,0.10189681957334988,3.348335943766343,0.02562407852144722,0,0.25147083715406704,90,0.10671214421417792,0.026160270700082634,0.2567329462255817,0,0.00017382254840741322,0.00017327958805933932,0.11007912475557831,0.011005775135677022,0.026134209123772185,0,0.23741294438705848,77,0.06136187175462561,0.005629200085996799,0.05113776202795923,0,1.9885973977536705e-06,1.9180507787759053e-06,0.07409122756650505,1.589835062343182,0.030500832474780873,0,0.4116659080510309,13,0.07158133897576262,0.02842971464277076,0.3837122905981272,0
6.2,575,287,288,575,303,272,287,175,112,288,128,160,0.00013126509161001104,0.00012928245982184514,0.10713988059942722,2.829098222125358,0.02699211022588299,0,0.25193336108708797,90,0.1376979874225742,0.02483569788539434,0.23180628675749257,0,0.00013661717397810602,0.00013466674940407962,0.11559377007186403,0.013198033880320169,0.027114985054369364,0,0.23457133578662695,78,0.05901241189491181,0.007593889707656054,0.06569462785870703,0,1.5544149286947134e-06,1.5398837508750024e-06,0.07289669658194431,2.752080069167769,0.032599647739670765,0,0.4472033613076691,12,0.07350544014507604,0.029082915652015044,0.3989606801910768,0
7.6,580,297,283,580,309,271,297,175,122,283,134,149,0.00011220098774411837,0.00011307405461872404,0.11130629249892358,3.7143415648739566,0.026297712033884334,0,0.2362643786211696,93,0.11922083144747231,0.024411529422797496,0.21931850279743684,0,0.00012579195403274033,0.00012541903973270382,0.11955224122786792,0.011440685532588523,0.02426647417428211,0,0.20297799459928095,82,0.0674783757921744,0.007875938885056437,0.06587863852794536,0,1.610318624917116e-06,1.5939972472491621e-06,0.07214518634364094,2.363670854785753,0.036683569988434556,1,0.5084687121563993,11,0.24072991694704698,0.02773399091870077,0.38441914595103566,0
9.2,582,300,282,582,313,269,300,174,126,282,139,143,9.88325741793646e-05,9.874871981630755e-05,0.11432870914101469,3.068407303769215,0.027802513440456894,0,0.24318050688532547,93,0.18364504796306927,0.023916611787053337,0.20919165419382318,0,0.00010729878098905736,0.00010853214993570529,0.1202637494096742,0.013218942685446471,0.022075216136387077,0,0.1835566930579275,81,0.06278402099104656,0.00961527200930414,0.07995154031453033,0,1.3292027418676123e-06,1.3100848157056992e-06,0.07351178483506647,1.983079663717823,0.03893169027906297,1,0.5295979463212793,12,0.19885834294262666,0.029160646678322737,0.396679889404788,0
11.2,582,298,284,582,319,263,298,173,125,284,146,138,8.491296349192743e-05,8.44604928091553e-05,0.11707628613723707,2.6024342003471506,0.02962326402486906,0,0.2530253136843153,92,0.3570153820580541,0.020301250536371558,0.17340190064258093,0,8.019823591230526e-05,8.007242140876127e-05,0.12629481175160667,0.01267556270647356,0.01748441768323491,0,0.1384412981082929,77,0.06176101179783268,0.0098988120464395,0.0783786119884974,0,3.1851771522674563e-06,3.1685409562534244e-06,0.07220270749672592,1.5793953179222382,0.04072506612287016,1,0.56403793617735,15,0.2189114402353374,0.029359954868531022,0.4066323256626127,0
13.6,581,303,278,581,323,258,303,174,129,278,149,129,7.181899123836878e-05,7.0417992829672e-05,0.12309842852029156,0.010033469251067188,0.027554355480712854,0,0.22384002632633765,92,0.586994902616373,0.015776711718380087,0.12816338850157988,0,6.706860447920127e-05,6.778852206684847e-05,0.13213921736779743,0.014501459060597896,0.011683056842752287,0,0.08841475737088382,77,0.08371859339081504,0.0068308509251226515,0.051694349801615684,0,3.116043917466688e-06,3.0615547206627966e-06,0.07382585013752184,2.8496901835998,0.03701455507159484,1,0.5013766181174291,15,0.6350459067282999,0.02107496808495424,0.2854686813046658,0
16.5,580,306,274,580,328,252,306,176,130,274,152,122,5.917827982867651e-05,5.94787767541231e-05,0.1291493284599548,2.8954142763418425,0.026612009420032404,0,0.20605611920223002,92,0.3571730100720954,0.016492738188024,0.1277028567216893,0,5.4722032892685594e-05,5.5171615334839246e-05,0.13864113145777504,0.014203907757869534,0.013885417080904823,0,0.10015366244420623,77,0.07314302309927267,0.007693207767355239,0.05549008210235434,0,2.565832114894139e-06,2.484157586547236e-06,0.07739935149003423,2.460450891760372,0.039219245955787185,1,0.5067128496656328,15,0.5234665240047717,0.021900671271084367,0.28295677999193897,0
20.1,572,453,119,572,324,248,453,324,129,119,0,119,3.8658415038872704e-05,3.7699998237420966e-05,0.13500920590993426,2.4466780697218162,0.02682909744247758,0,0.19872050399567187,92,0.5617779689785511,0.019150345804154784,0.1418447406981279,0,4.7881218031078304e-05,4.757256971728342e-05,0.13671602697653978,0.013208725610138295,0.020913514484049996,0,0.15297046693463903,72,0.07224638762809293,0.006691292874769178,0.04894300268042013,0,2.072725175158797,,,2.081276557749356,0.06778477787989708,0,,20,0.42975134406689974,0.023048060824543228,,0
24.4,572,455,117,572,330,242,455,330,125,117,0,117,3.0447461687510527e-05,3.10556572568806e-05,0.1403695409304814,0.010242435690478535,0.029197894294758997,0,0.20800733621562084,94,0.4628687062208692,0.02005222170526582,0.14285308317134673,0,3.970384417834888e-05,3.998447871828541e-05,0.14198818535405933,0.011270892251135813,0.023158791378626614,0,0.16310365063739807,70,0.06054641440915562,0.00816266241446116,0.05748832125790525,0,1.7815754796722818,,,1.7888317094482815,0.0739839183267821,0,,24,0.4138606159454832,0.023702581407866543,,0
29.7,568,452,116,568,332,236,452,332,120,116,0,116,2.860852742503286e-05,2.877278810217411e-05,0.14643786784378027,1.690872433802672,0.027718318757261804,0,0.18928381821860224,93,0.3803205100418483,0.020921354972687448,0.14286847576206396,0,2.5255785139531448e-05,2.54918127984331e-05,0.14923490324738453,0.010150003140540738,0.027881309140848513,0,0.18682833931034265,66,0.06486111993038972,0.009574655628213517,0.06415828616407349,0,1.527448001889636,,,1.5413350559847363,0.07919611315667231,0,,27,0.34007511011701047,0.024719551558915545,,0
36.1,569,457,112,569,338,231,457,338,119,112,0,112,2.2810717773325883e-05,2.276934422336772e-05,0.15247496888070403,0.010938825567323247,0.02758811128237239,0,0.18093534620726665,93,0.2171582526770703,0.022635818888980547,0.14845596660977675,0,2.2078227454483353e-05,2.1569779892371498e-05,0.15471340348374374,0.013128506245228917,0.02361751300453319,0,0.15265330910398311,65,0.07313936784152705,0.008965861280865186,0.057951419068919,0,1.4130167227311554,,,1.4191844316696054,0.05518620997158569,0,,28,0.27985406035982147,0.02568266954859967,,0
43.9,570,462,108,570,345,225,462,345,117,108,0,108,1.8498476528048234e-05,1.816355896795889e-05,0.1570246275227706,0.01394946231948774,0.022494137909457604,0,0.14325229274112217,95,0.2573082035568092,0.022678861116254726,0.14442868914282886,0,1.8490079263038188e-05,1.8522740323653008e-05,0.15784131915574648,0.011704267001909152,0.02691064465532921,0,0.17049176222846768,66,0.06993584364900653,0.006313796301015648,0.04000090936129118,0,2.0954247466386513,,,2.11429410851692,0.047124001250978265,0,,29,0.32399108138726335,0.026703770839174835,,0
53.3,569,463,106,569,350,219,463,350,113,106,0,106,1.594357694092367e-05,1.542141683384848e-05,0.1598226962641229,0.011673903884166992,0.026601757208892147,0,0.16644542878271867,94,0.21196097009817846,0.023562104318808154,0.14742652245003696,0,1.5766337498455206e-05,1.5785410209826724e-05,0.16509728720625594,0.010408715450825237,0.029560959100628843,0,0.17905175548825558,62,0.06301978548859385,0.00851612700875216,0.05158247693139239,0,1.82091488473733,,,1.8283974364696376,0.0488609859381503,0,,32,0.2668221524850315,0.02776886974149172,,0
64.7,569,463,106,569,356,213,463,356,107,106,0,106,1.9726145360438422e-05,1.9810225564536608e-05,0.16214854968123985,0.015052886428322849,0.01959768459176402,0,0.12086253395599393,95,0.13820614651016885,0.02584032994186839,0.15936207873993738,0,1.3126064475093514e-05,1.3003879074154912e-05,0.1659240357549579,0.012106318693408604,0.024197708785893637,0,0.14583606694348739,58,0.07244959167612762,0.014583961667025922,0.08789541310677856,0,1.634713951245769,,,1.648599102143649,0.060590700192810966,0,,37,0.2198121856718928,0.02887291412832589,,0
78.6,566,462,104,566,359,207,462,359,103,104,0,104,4.0218199338489115e-05,4.159695596625424e-05,0.16876886592942542,0.01281070692163299,0.023461644599101016,0,0.1390164262223107,92,0.08710972246314043,0.02497229998319469,0.1479674574197674,0,3.443885873768119e-05,3.4507100044151694e-05,0.16821318254026885,0.011016558075955633,0.028406769815669194,0,0.1688736244489569,55,0.0642132993911222,0.022569756536709628,0.1341735302541263,0,1.3653047780575418,,,1.3619123056316769,0.05786932088498542,0,,37,0.10943885374094069,0.02401810485330184,,0
95.4,564,464,100,564,361,203,464,361,103,100,0,100,3.686714520583015e-05,3.6436845337013e-05,0.1755620264248204,0.010805013783280252,0.026801837208686268,0,0.15266306589462508,91,0.14413195093125725,0.01729216386759514,0.09849603709717962,0,3.212325645356094e-05,3.1253645037237484e-05,0.17829554132248251,0.010263222629868774,0.02784381724835742,0,0.15616664915919803,54,0.09314218985848652,0.010527219546624035,0.05904365004609673,0,1.2792361725257533,,,1.2782986341512539,0.038563396540566806,0,,37,0.09195014337432333,0.01940458215970537,,0
115.8,566,469,97,566,368,198,469,368,101,97,0,97,2.8042365838055674e-05,2.823530562108783e-05,0.18033103419742025,0.01389816818464278,0.021980030427090153,0,0.12188712012280242,96,0.10026082824510421,0.020863658227239006,0.11569643749948323,0,2.5923383629574318e-05,2.5760675527309303e-05,0.18362296215579016,0.013292887715350261,0.02195221660800948,0,0.11955049820721599,55,0.08484367714456759,0.01860989140056089,0.10134838901450575,0,1.8791253682043638,,,1.8791253682043638,0.1151834980735682,0,,41,0.10625959233642614,0.01934081213044273,,0
